Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
TH,013801,Sediment Concentration,Measured,1966-05-10T00:00Z,262.93,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,013801,Sediment Concentration,Measured,1966-05-13T00:00Z,77.11,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,013801,Sediment Concentration,Measured,1966-05-17T00:00Z,222.59,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,013801,Sediment Concentration,Measured,1966-05-20T00:00Z,21.6,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,013801,Sediment Concentration,Measured,1966-05-23T00:00Z,85.79,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,013801,Sediment Concentration,Measured,1966-05-26T00:00Z,129.48,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,013801,Sediment Concentration,Measured,1966-06-01T00:00Z,113.6,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,013801,Sediment Concentration,Measured,1966-06-05T00:00Z,122.27,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,013801,Sediment Concentration,Measured,1966-06-09T00:00Z,452.71,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,013801,Sediment Concentration,Measured,1966-06-12T00:00Z,136.76,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,013801,Sediment Concentration,Measured,1966-06-15T00:00Z,114.63,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,013801,Sediment Concentration,Measured,1966-06-19T00:00Z,187.18,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,013801,Sediment Concentration,Measured,1966-06-22T00:00Z,196.28,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,013801,Sediment Concentration,Measured,1966-06-25T00:00Z,87.84,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,013801,Sediment Concentration,Measured,1966-07-18T00:00Z,1153.12,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,013801,Sediment Concentration,Measured,1966-07-20T00:00Z,641.01,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,013801,Sediment Concentration,Measured,1966-07-21T00:00Z,554.89,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,013801,Sediment Concentration,Measured,1966-07-23T00:00Z,1268.85,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,013801,Sediment Concentration,Measured,1966-07-25T00:00Z,1418.49,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,013801,Sediment Concentration,Measured,1966-07-26T00:00Z,1387.28,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,013801,Sediment Concentration,Measured,1966-07-29T00:00Z,1036.34,ppm,O,Raw - Not Yet Reviewed,Unverified data
TH,013801,Sediment Concentration,Measured,1966-08-01T00:00Z,539.93,ppm,O,Raw - Not Yet Reviewed,Unverified data
